QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q3710499,Jenny Harrison,mathematician,"['mathematician', 'university teacher']",28,"['mathematician', 'american', 'mathematics', 'applied', 'canadian']",20.800322,-5.9173207
Q54313902,Murder of Pam Basu,"1992 murder in Savage, Maryland",[],0,"['engineer', 'australian', 'activist', 'entrepreneur', 'researcher']",15.726271,3.2002554
Q50379412,Lynn Cherny,data science consultant,['lecturer'],44,"['computer', 'scientist', 'american', 'programmer', 'researcher']",5.5235157,12.238923
Q89018982,Lesley Souter,"engineer, first female electrical engineering student at the University of Glasgow (1917-1981)",['engineer'],31,"['engineer', 'electrical', 'chemical', 'mechanical', 'biomedical']",4.990503,5.7149134
Q23768714,Emily Balcetis,social psychologist,['social psychologist'],1,"['psychologist', 'developmental', 'clinical', 'social', 'academic']",18.268267,4.2156878
Q73254358,Mkunde Chachage,lecturer and immunologist researcher at Mbeya College of Health and Allied Sciences located under the University of Dar es Salaam (UDSM - MCHAS).,['docent'],21,"['microbiologist', 'immunologist', 'researcher', 'bacteriologist', 'australian']",15.603494,8.575298
Q11763,Monica S. Lam,computer scientist,"['computer scientist', 'academic', 'university teacher', 'researcher']",44,"['computer', 'scientist', 'american', 'programmer', 'researcher']",5.167982,14.245494
Q42586954,Tara Spires-Jones,neurodegeneration researcher,['neuroscientist'],8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",20.139553,7.155022
Q104599793,Virginia Angiola Borrino,Italian pediatrician (1880-1965),['pediatrician'],51,"['italian', 'mathematician', 'physicist', 'scientist', 'american']",3.167096,12.860766
Q90262727,Amy Orben,experimental psychologist,['researcher'],1,"['psychologist', 'developmental', 'clinical', 'social', 'academic']",25.611313,0.68418324
Q47542233,Anne McNeil,chemist,['chemist'],30,"['chemist', 'researcher', 'inorganic', 'academic', 'chemistry']",-8.31363,0.88216996
Q54086496,Claudia Tebaldi,climate modeller and climate change researcher,"['climatologist', 'climate change researcher']",37,"['ecologist', 'environmental', 'scientist', 'australian', 'researcher']",1.1063155,2.80251
Q116992509,Linda Teplin,public health researcher and behavioral health scientist,[],42,"['researcher', 'scientist', 'medical', 'health', 'academic']",10.685037,2.9622078
Q18631649,Joan Brugge,biologist,"['biologist', 'researcher']",7,"['biologist', 'biostatistician', 'molecular', 'evolutionary', 'cell']",0.88704735,20.552984
Q29570890,Bridget Terry Long,economist and academic administrator,"['economist', 'academic administrator']",43,"['academic', 'administrator', 'librarian', 'scientist', 'sociologist']",-6.2240515,6.541841
Q4793582,Sally Davies (doctor),medical doctor and academic administrator,"['physician', 'hematologist']",43,"['academic', 'administrator', 'librarian', 'scientist', 'sociologist']",10.263766,3.3429856
Q21517807,Emma Leclercq,Belgian zoologist,"['naturalist', 'physicist', ""women's rights activist"", 'botanist']",4,"['zoologist', 'herpetologist', 'biologist', 'australian', 'scientist']",8.941266,14.082067
Q21176870,Igerna Sollas,naturalist,"['geneticist', 'geologist', 'zoologist', 'paleontologist']",7,"['biologist', 'biostatistician', 'molecular', 'evolutionary', 'cell']",4.5893626,1.1133244
Q46986863,Nadia Chaudhri,Canadian psychologist,"['researcher', 'psychologist', 'professor']",38,"['canadian', 'psychologist', 'american', 'developmental', 'clinical']",18.196789,1.1094531
Q109769637,Elizabeth Essex-Cohen,Australian physicist,['physicist'],58,"['physicist', 'nuclear', 'american', 'australian', 'theoretical']",12.879754,7.684514
Q63117672,Concha Gómez,Italian and Cuban-American mathematician,['mathematician'],51,"['italian', 'mathematician', 'physicist', 'scientist', 'american']",2.3345153,8.260127
Q29047539,Becky Pettit,sociologist,['sociologist'],22,"['economist', 'statistician', 'sociologist', 'born', 'academic']",-0.8148034,8.848246
Q4883677,Belle Reynolds,Civil War nurse,['nurse'],52,"['physician', 'australian', 'american', 'medical', 'doctor']",9.413571,2.6378567
Q47088388,Maritza Soto,Chilean astronomer,['astronomer'],39,"['astronomer', 'french', 'german', 'canadian', 'american']",2.5132823,5.694355
Q36337809,Saïda Hossini,Moroccan paleontologist,['paleontologist'],26,"['paleontologist', 'geologist', 'australian', 'palaeontologist', 'paleoclimatologist']",3.2365592,2.8172112
Q34223218,Margaret Campbell Mann Lesley,geneticist and cytologist,"['geneticist', 'cell biologist', 'biologist', 'teacher']",34,"['geneticist', 'australian', 'researcher', 'canadian', 'molecular']",14.560774,1.3507489
Q41068788,Brenda Schulman,biochemist and structural biologist,"['biochemist', 'structural biologist']",41,"['biologist', 'molecular', 'cell', 'professor', 'researcher']",11.813443,1.4009928
Q87742389,Susan S. Hubbard,geophysicist,['geophysicist'],9,"['geologist', 'geophysicist', 'seismologist', 'australian', 'mineralogist']",-0.48751062,7.574177
