QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q6077932,Isabella Abbott,"Hawaiian-American professor of botany, ethnobotanist and specialist in algology (1919-2010)","['botanist', 'anthropologist', 'ethnobotanist', 'botanical collector', 'university teacher', 'scientific collector']",81,"['plant', 'american', 'biologist', 'scientist', 'physiologist']",10.755662,11.74812
Q6551880,Linda P. Fried,American epidemiologist,"['epidemiologist', 'geriatrician', 'university teacher']",52,"['epidemiologist', 'american', 'physician', 'british', 'researcher']",-3.4147184,1.8955541
Q64509992,Cheryl Dennison Himmelfarb,American nurse practitioner,"['nurse practitioner', 'nurse scientist']",22,"['nurse', 'american', 'nursing', 'researcher', 'scientist']",14.198643,10.703747
Q95212403,Adelaide Smith,American mathematician,"['mathematician', 'teacher', 'head teacher']",20,"['mathematician', 'american', 'british', 'mathematics', 'canadian']",9.096944,-9.491418
Q20752361,J. Mary Taylor,American mammalogist and university teacher (1931-2019),"['mammalogist', 'university teacher', 'zoologist']",93,"['herpetologist', 'american', 'veterinary', 'scientist', 'animal']",1.2903519,10.768688
Q44048031,Mary Grace Kovar,American biostatistician (1929-2015),['biostatistician'],63,"['american', 'biostatistician', 'biophysicist', 'bioinformatician', 'statistician']",14.194233,-11.425237
Q3740449,Tatyana Chernigovskaya,Soviet and Russian psychologist,"['psychologist', 'scientist', 'university teacher']",69,"['russian', 'soviet', 'scientist', 'ukrainian', 'physicist']",0.16753252,5.862188
Q93612217,Ann Seidman,American economist,['economist'],30,"['economist', 'american', 'british', 'university', 'economics']",13.217386,-1.2225345
Q57069843,Katharine Michie,Australian physicist,['physicist'],13,"['australian', 'scientist', 'biologist', 'physicist', 'archaeologist']",10.01294,0.077802904
Q21684395,Claudi L. H. Bockting,Dutch clinical psychologist and professor,['university teacher'],8,"['psychologist', 'american', 'british', 'psychiatrist', 'psychoanalyst']",0.22461112,6.0644374
Q55419704,Ida C. Nahm,American medical doctor,"['physician', 'nurse', 'singer']",23,"['american', 'physician', 'medical', 'doctor', 'scientist']",6.1218667,5.640841
Q124615929,Gertrude F. Rempfer,physics researcher,['physicist'],37,"['scientist', 'science', 'researcher', 'american', 'meteorologist']",19.876255,4.302486
Q5363407,Elizabeth Rauscher,American physicist,"['physicist', 'theoretical physicist']",44,"['physicist', 'american', 'british', 'space', 'physics']",-4.6621,-4.7945566
Q4794922,Grace Frankland,English bacteriologist (1858-1946),"['biologist', 'bacteriologist', 'microbiologist', 'botanist']",51,"['american', 'british', 'pathologist', 'mycologist', 'bacteriologist']",18.019808,-2.3774626
Q4354510,Hanna Kokko,Finnish scientist known for her research on the evolution and maintenance of Sex,"['biologist', 'ecologist']",29,"['swedish', 'dutch', 'danish', 'scientist', 'academic']",10.054999,7.5823064
Q6482941,Ariel Hollinshead,American pharmacologist (1929-2019),"['pharmacologist', 'university teacher']",87,"['pharmacologist', 'american', 'pharmacist', 'british', 'researcher']",5.973585,6.9725227
Q18638030,Lea Verou,Greek web developer,"['web developer', 'computer scientist', 'programmer']",65,"['american', 'women', 'director', 'activist', 'organization']",17.891998,6.7267675
Q60194158,Namandjé Bumpus,American pharmacologist,['pharmacologist'],87,"['pharmacologist', 'american', 'pharmacist', 'british', 'researcher']",5.973077,6.9678736
Q79220579,Jaya Chakrabarti,"British data scientist, academic and business owner",['data scientist'],90,"['british', 'scientist', 'biologist', 'academic', 'anthropologist']",18.247395,7.0931582
Q61835348,Alice Mary Hilton,"British-American mathematician, academic and author",['mathematician'],20,"['mathematician', 'american', 'british', 'mathematics', 'canadian']",9.379835,-5.222981
Q46967059,Brooke E. Flammang,American biologist,['researcher'],18,"['biologist', 'american', 'molecular', 'evolutionary', 'developmental']",2.9854643,15.191239
Q41695919,Megumi Harada,Canadian mathematician,['mathematician'],20,"['mathematician', 'american', 'british', 'mathematics', 'canadian']",20.791471,1.1522738
Q112883,Edith Bülbring,British pharmacologist (1903-1990),"['pharmacologist', 'physiologist', 'biologist']",87,"['pharmacologist', 'american', 'pharmacist', 'british', 'researcher']",6.01987,6.9403505
Q114410406,Alina Szmant,researcher,['researcher'],3,"['researcher', 'scientist', 'author', 'ai', 'university']",14.505856,22.577448
Q566993,Annie Leuch-Reineck,Swiss mathematician (1880-1978),['mathematician'],2,"['mathematician', 'american', 'russian', 'polish', 'born']",12.247366,1.9947255
Q7647684,Susan Coates,American psychologist,['psychologist'],73,"['american', 'psychologist', 'clinical', 'psychiatrist', 'cognitive']",-9.633115,11.081894
Q1964729,Marguerite de la Sablière,French scientist,"['salonnière', 'philosopher']",89,"['french', 'physicist', 'biologist', 'scientist', 'historian']",11.479298,6.415132
